Filename,"General, Income Tax, and Uniform School Funds",State Government,Expenditures,Individuals & Businesses,Regulatory Impact
HB0317S02.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0112.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
To the extent that people are convicted of a Class A misdemeanor as a result of this bill and pay their
financial obligation, this could have a fiscal impact of revenue/case. Class A misdemeanors typically
generate revenue in the following amounts: (1) General Fund $1,070; (2) Court Security $53.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
To the extent that Class A misdemeanor cases are filed in district court as a result of the charges in
this bill, this could have a fiscal impact on the Courts. Class A misdemeanors typically cost the Courts
$420 from the General Fund per case.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
To the extent that people are convicted of a Class A misdemeanor as a result of this bill and pay their
financial obligation, this could have a fiscal impact of revenue/case for local governments. Class A
misdemeanors typically generate $380/case from fines/fees and county jails cost about $83/day/
offender in incarceration costs. Class A misdemeanors also impact Justice Courts, but total amounts
are unknown.","UCA 36-12-13(2)(c)
To the extent that individuals are convicted of a Class A misdemeanor, this bill would have a fiscal
impact. Typical costs/case are about $1,500, however the total amount is unknown.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.
H.B. 112
2022/01/14 10:02, Lead Analyst: Alexander R. Wilson Attorney: ECM"
HB0348S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this bill may cost state agencies that reemploy a retiree a surcharge equivalent to a
percentage of salary plus a portion of the amortization of contribution rates.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this bill may cost local governments that reemploy a retiree a surcharge equivalent to a
percentage of salary plus a portion of the amortization of contribution rates.","UCA 36-12-13(2)(c)
Enactment of this bill may cost employers that reemploy a retiree a surcharge equivalent to a
percentage of salary plus a portion of the amortization of contribution rates.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0341S02.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$16,200
$16,200
General Fund, One-time
$11,200
$26,300
$0
Federal Funds, One-time
$4,900
$0
$0
Total Expenditures
$16,100
$42,500
$16,200
Enactment of this legislation may increase costs to the Department of Health and Human Services by
$16,100 in FY 2022, $42,500 in FY 2023, and $16,200 ongoing in FY 2024 (all from the General Fund
except $4,900 from federal funds in FY 2022) for computer system programming changes and staff
time. The Department of Health and Human Services has indicated that it can absorb all costs except
the $6,800 ongoing and one-time from General Fund of $4,400 in FY 2022 and $20,700 in FY 2023.
FY 2022
FY 2023
FY 2024
Net All Funds
$(16,100)
$(42,500)
$(16,200)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable expenditures by Utah residents
or businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation could result in a small reduction in the regulatory burden for Utah
residents or businesses.
H.B. 341 2nd Sub. (Gray)
2022/03/01 08:48, Lead Analyst: Russell T. Frandsen Attorney: CW1"
HB0372.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0423.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Agricultural Water Optimization
Restricted Account (GFR)
$0
$3,000,000
$0
Livestock Brand (GFR)
$0
$(4,000)
$(4,000)
Total Revenues
$0
$2,996,000
$(4,000)
Enactment of this legislation may decrease revenues to the Utah Livestock Brand and Anti-theft
Account by $4,000 annually beginning in FY 2023 from not collecting travel permit fees. Enactment
of this Legislation may also transfer $3,000,000 in one-time General Fund appropriations from the
Resource Conservation line item to the Agricultural Water Optimization Restricted Account.","FY 2022
FY 2023
FY 2024
Dedicated Credits Revenue
$0
$(5,400)
$(5,400)
Livestock Brand (GFR)
$0
$(4,000)
$(4,000)
Closing Nonlapsing
$0
$3,000,000
$0
Total Expenditures
$0
$2,990,600
$(9,400)
Enactment of this legislation may decrease Dedicated Credit expenditures by the Department of
Agriculture and Food's Pesticide program by $5,400 from switching to email renewal reminders for
pesticide distribution registration. This legislation may also decrease costs from the Utah Livestock
Brand and Anti-theft Account by $4,000 from not performing brand inspections for travel for rodeo
stock that have already received an annual brand inspection. Enactment of this Legislation may also
transfer $3,000,000 in one-time General Fund appropriations from the Resource Conservation line
item to the Agricultural Water Optimization Restricted Account.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$5,400
$5,400
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.
H.B. 423
2022/02/21 08:20, Lead Analyst: Lacey K. Moore Attorney: AH3","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0031S02.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
General Fund
$0
$(20,000)
$(20,000)
Insurance Department Acct (GFR)
$0
$20,000
$20,000
Total Revenues
$0
$0
$0
Enactment of this legislation could lower the year-end transfer from the Insurance Department
Restricted Account to the General Fund by $20,000 ongoing beginning in FY 2023 to account for
expected costs from the Department of Insurance.","FY 2022
FY 2023
FY 2024
Insurance Department Acct (GFR)
$0
$20,000
$20,000
Total Expenditures
$0
$20,000
$20,000
Enactment of this legislation could increase costs for the Department of Insurance by $20,000 ongoing
from the Insurance Department Restricted Account beginning in FY 2023 to pay membership dues for
the National Council of Insurance Legislators. Expenditures from the Insurance Department Restricted
Account impact year-end transfers to the General Fund.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(20,000)
$(20,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.
H.B. 31 2nd Sub. (Gray)
2022/02/24 09:04, Lead Analyst: Timothy G. Dinehart Attorney: PG","UCA 36-12-13(2)(d)
Enactment of this legislation could result in a small increase in the regulatory burden for Utah residents
or businesses."
HB0402S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation could result in a small increase in the regulatory burden for Utah residents
or businesses."
SB0074S03.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0147S02.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation could increase revenue to the Unified Statewide 911 Emergency Service
Account by approximately $10,200,000 in FY2026 and decrease revenue to the Utah Statewide Radio
System Restricted Account by approximately $4.7 million in FY2025 and $11.6 million in FY 2026.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this bill could increase revenue distributed to local public safety answering points by
approximately $400,000 in FY2025 and $900,000 in FY2026.","UCA 36-12-13(2)(c)
Beginning January 1, 2025, enactment of this bill would lower the total 911 service charges per line
by 23 cents per month and lower the tax rate on a prepaid wireless 911 service charge from 3.7% to
3.13%. Removing the July 1, 2025 repeal date on the Unified statewide 911 emergency service charge
will increase the total 911 service charges per line for taxpayers as they will have to continue paying
this 25 cent charge after that date. In total, this bill is estimated to save taxpayers approximately $4.3
million in tax in FY 2025 and $400,000 in FY 2026. Lastly, ending the Radio Network Charge in 2033
will decrease the total 911 service charges per line for taxpayers as they will not have to pay this 27
cent charge after that time.
S.B. 147 2nd Sub. (Salmon)
2022/03/03 15:00, Lead Analyst: Maddy Oritt Attorney: RS2","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0113.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0013.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Transportation Investment Fund
of 2005
$0
$688,500
$688,500
Total Expenditures
$0
$688,500
$688,500
Enactment of this legislation adds 99.73 lane miles to the state's highway system. Beginning in FY
2023, ongoing maintenance costs for 99.73 lane miles could cost $688,500 from the Transportation
Investment Fund.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(688,500)
$(688,500)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation could reduce local governments' road maintenance costs due to the
transfer of lane miles from local to state jurisdiction.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.
S.B. 13
2022/02/08 10:02, Lead Analyst: Amanda Kilian Attorney: KPG"
SB0118S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Uniform School Fund
$0
$2,473,800
$2,473,800
Total Expenditures
$0
$2,473,800
$2,473,800
Enactment of this bill increases the number of Weighted Pupil Units (WPUs) for the Special Education
Add-on program in the Minimum School Program by 633 WPUs over the 89,232 WPUs previously
estimated for FY 2023. At the initial FY 2023 WPU Value of $3,908, this increase in the number
of WPUs may cost the State Board of Education $2,473,800 ongoing from the Uniform School
Fund beginning in FY 2023. Subsequent increases in the WPU Value for FY 2023 will increase this
estimate.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(2,473,800)
$(2,473,800)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.
S.B. 118 1st Sub. (Green)
2022/01/30 15:17, Lead Analyst: Ben Leishman Attorney: AS2"
HB0272S03.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
General Fund
$0
$(1,800,000)
$(1,800,000)
Restricted Accounts (FN Only)
$0
$(600,000)
$(600,000)
Total Revenues
$0
$(2,400,000)
$(2,400,000)
Enactment of this legislation could reduce state sales tax revenue by $2.4 million split as follows:
($1.8) million from the General Fund and ($600,000) from earmarked revenue beginning in FY 2023.","FY 2022
FY 2023
FY 2024
General Fund, One-time
$0
$500,000
$0
Total Expenditures
$0
$500,000
$0
This bill appropriates $500,000 from the General Fund one-time in FY 2023 to the Office of Energy
Development for the establishment of and Energy Storage Asset Pilot Grant Program.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(2,900,000)
$(2,400,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation could reduce local sales tax revenue by $1.2 million annually.","UCA 36-12-13(2)(c)
Enactment of this legislation could save certain taxpayers $3.6 million in sales tax annually. Individual
impact will vary by taxpayer.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.
H.B. 272 3rd Sub. (Cherry)
2022/02/15 17:18, Lead Analyst: Andrea Wilko Attorney: AH3"
HB0082S02.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Dedicated Credits Revenue
$0
$61,600
$61,600
Total Revenues
$0
$61,600
$61,600
Enactment of this legislation could increase dedicated credits revenue to the Attorney General by
approximately $61,600 ongoing beginning in FY 2023 for legal services provided to the new State
Debt Review Commission.","FY 2022
FY 2023
FY 2024
General Fund
$0
$125,400
$125,400
Dedicated Credits Revenue
$0
$61,600
$61,600
Total Expenditures
$0
$187,000
$187,000
Enactment of this legislation could cost the State Treasurer approximately $61,600 ongoing from
the General Fund beginning in FY 2023 to pay for Attorney General legal services related to the
administration of the new State Debt Review Commission. Enactment of this legislation would thus
cost the Attorney General $61,600 ongoing in dedicated credits beginning in FY 2023 to provide these
services. Enactment of this legislation could also cost the State Treasurer approximately $60,000
ongoing from the General Fund beginning in FY 2023 for personnel costs related to the commission
and affordability study, as well as $3,800 ongoing from the General Fund beginning in FY 2023 for
commission member costs; the latter cost can be absorbed.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(125,400)
$(125,400)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.
H.B. 82 2nd Sub. (Gray)
2022/02/16 11:32, Lead Analyst: Maddy Oritt Attorney: VA1","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0478S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Restricted Accounts (FN Only)
$0
$(24,596,700)
$(24,596,700)
Total Revenues
$0
$(24,596,700)
$(24,596,700)
Enactment of this bill will reduce transfers to restricted accounts by $24,596,700 in FY 2023 as
appropriated in the base budget, including $8,377,900 to the Local Levy Growth Account and
$16,218,800 to the Teacher and Student Success Account.","FY 2022
FY 2023
FY 2024
Local Revenue
$0
$(24,596,700)
$(24,596,700)
Total Expenditures
$0
$(24,596,700)
$(24,596,700)
Enactment of this bill reduces anticipated local property tax collections factored into the calculation of
school district weighted pupil units through the Minimum School Program - Basic School Program by
approximately $24,596,700 in FY 2023. As a result of the estimated reduced local revenue, planned
transfers to certain state restricted accounts will not occur in FY 2023, including $8,377,900 to the
Local Levy Growth Account and $16,218,800 to the Teacher and Student Success Account which
support the Voted and Board Local Levy Programs and the Teacher and Student Success Programs
respectively.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this bill repeals the Equity Pupil Tax Rate and the WPU Value Tax Rate which are
components of the statewide basic property tax levy. While revenues generated from these levies
since their creation will remain part of the Basic Levy revenue base amount, the repeal reduces
anticipated local school district property tax contributions to the Basic School Program in FY 2023 by
approximately $24,596,700 statewide.
H.B. 478 1st Sub. (Buff)
2022/03/02 09:48, Lead Analyst: Ben Leishman Attorney: MC","UCA 36-12-13(2)(c)
Individuals and business may forego an anticipated property tax increase in FY 2023 of $24,596,700
statewide from the Equity Pupil and WPU Value tax rates.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0059S05.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Education Fund
$0
$(249,186,000)
$(249,186,000)
Education Fund, One-time
$(11,455,000)
$(16,923,000)
$0
Total Revenues
$(11,455,000)
$(266,109,000)
$(249,186,000)
Enactment of this legislation could decrease revenue to the Education Fund by approximately $11.5
million one-time in FY2022 and $16.9 million one-time in FY2023 due to the retrospective effective
date of the bill, and $249.2 million ongoing beginning in FY2023, for a total FY2023 impact of $266.1
million.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$(11,455,000)
$(266,109,000)
$(249,186,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of an individual and corporate income tax rate cut to 4.85% will reduce tax liability for
the majority of individuals and businesses beginning in tax year 2022. Individual tax savings will
vary based on filing status, family size, income, and other factors. The increase in the income-based
phaseout thresholds for the social security tax credit could result in an average annual tax savings
of $210 for an estimated 71,257 individuals in tax year 2022. The refundable state earned income
tax credit may result in annual tax savings/refunds of $323 on average for an estimated 217,340
individuals in tax year 2022.
S.B. 59 5th Sub. (Gray)
2022/02/23 12:45, Lead Analyst: Maddy Oritt Attorney: AVA","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0152S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
To the extent that the Legislature constructs Community Correctional Centers throughout the state
to adhere to statutorily designated caps, enactment of this bill could avoid $3,072,000 ongoing and
$7,680,000 one-time in costs from the General Fund for the Department of Corrections at some future
point for no longer being required to build a building in the previously designated western zone.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0193S04.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Uniform School Fund
$0
$12,200,000
$12,200,000
Total Expenditures
$0
$12,200,000
$12,200,000
Enactment of this legislation could cost the State Board of Education $12,200,000 ongoing from the
Education Fund beginning in FY 2023 for expansion of the Optional Extended Day Kindergarten
program.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(12,200,000)
$(12,200,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.
H.B. 193 4th Sub. (Green)
2022/02/28 15:19, Lead Analyst: Emily Willis Attorney: MC"
SB0170.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0070.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Education Fund
$0
$(25,668,000)
$(25,668,000)
Education Fund, One-time
$0
$772,000
$0
Total Revenues
$0
$(24,896,000)
$(25,668,000)
Enactment of this legislation could decrease Education Fund revenue by an estimated $24.9 million
in FY 2023 and $25.7 million in FY 2024 as a result of the expanded eligibility for the Social Security
benefits tax credit.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(24,896,000)
$(25,668,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation could result in an average annual tax savings of $317 for an estimated
78,538 individuals beginning in tax year 2022.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0311.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Education Fund
$0
$(595,700,000)
$(595,700,000)
Education Fund, One-time
$0
$56,000,000
$0
Total Revenues
$0
$(539,700,000)
$(595,700,000)
Enactment of this bill is estimated to decrease Education Fund revenues by $539.7 million in FY 2023
and $595.7 in FY 2024. A small portion of the fiscal impact will be offset by the incorporation of the
current heavy duty vehicle tax credit into the heavy equipment tax credit.","FY 2022
FY 2023
FY 2024
Other Financing Sources
$0
$4,000,000
$4,000,000
Total Expenditures
$0
$4,000,000
$4,000,000
Enactment of this legislation could cost the Inland Port Authority $4.0 million to issue grants authorized
in the bill. The Authority has indicated that they can absorb these costs.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(543,700,000)
$(599,700,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Individuals or businesses who make a qualifying alternative fuel heavy equipment purchase may
realize tax savings of $539.7 million in aggregate in tax year 2022. Each eligible taxpayer could
receive a $500,000 nonrefundable credit for the purchase of certain alternative fuel heavy duty
equipment.
H.B. 311
2022/02/18 11:47, Lead Analyst: Andrea Wilko Attorney: CRG","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0440.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Homeless Housing Reform
Restricted Account (GFR)
$0
$1,800
$1,800
Total Expenditures
$0
$1,800
$1,800
Enactment of this legislation could cost the Department of Workforce Services $1,800 ongoing in FY
2023 for per diem costs.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(1,800)
$(1,800)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0162S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0211.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation prohibits local education agencies (LEAs) from charging certain curricular
and co-curricular fees as outlined in the bill. LEAs that currently charge student fees for these
purposes may see reduced revenue collections. Estimates from FY 2021 by the State Board of
Education indicate LEAs collected $53.6 million statewide from these fees. Assuming secondary
school enrollment in Grades 7 through 12, this amount is approximately $170 per student. These
amounts and the revenue impact on each LEA will vary by LEA depending on their current fees
charged and the number of students paying the fee.","UCA 36-12-13(2)(c)
Individuals currently paying fees to local education agencies (LEAs) for categories prohibited in this
legislation may see a reduction in the amount of fees paid. This amount will vary depending on current
LEA fee schedules. Estimates indicate that the total revenue collected from curricular and co-curricular
fees is $53.6 million statewide and on average approximately $170 per student.","UCA 36-12-13(2)(d)
Enactment of this legislation could result in a medium reduction in the regulatory burden for Utah
residents or businesses.
H.B. 211
2022/01/25 08:35, Lead Analyst: Ben Leishman Attorney: VA1"
